Instance,Feature,LocX,LocY,Checkin
A,1,116.247692,40.064857,
A,2,116.297701,40.034848,
A,3,116.297888,40.034182,
A,4,116.297665,40.03417,
A,5,116.297399,40.034164,
A,6,116.298797,40.03427,
A,7,116.305146,40.03882,
A,8,116.308408,40.036263,
A,9,116.306701,40.037009,
A,10,116.308197,40.036346,
A,11,116.308197,40.036346,
A,12,116.31191,40.034037,
A,13,116.311952,40.034266,
A,14,116.311664,40.034639,
A,15,116.311521,40.034955,
A,16,116.31148,40.035085,
A,17,116.310748,40.030567,
A,18,116.308557,40.03695,
A,19,116.307171,40.036196,
A,20,116.307885,40.036097,
A,21,116.297751,40.034158,
A,22,116.294474,40.041562,
A,23,116.29595,40.0418,
A,24,116.30672,40.037023,
A,25,116.30672,40.037023,
A,26,116.307173,40.036507,
A,27,116.298336,40.034441,
A,28,116.303476,40.038688,
A,29,116.308569,40.037446,
A,30,116.299368,40.034376,
A,31,116.253568,39.90944,
A,32,116.258295,39.908341,
A,33,116.248032,39.930166,
A,34,116.252401,39.925299,
A,35,116.255782,39.925133,
A,36,116.228207,39.944867,
A,37,116.288076,39.908564,
A,38,116.264807,39.917352,
A,39,116.262435,39.917845,
A,40,116.260886,39.917974,
A,41,116.288312,39.907875,
A,42,116.26848,39.917875,
A,43,116.261862,39.917468,
A,44,116.264873,39.91746,
A,45,116.263462,39.917809,
A,46,116.26115,39.917831,
A,47,116.273544,39.91572,
A,48,116.264836,39.917116,
A,49,116.259679,39.92064,
A,50,116.26432,39.922413,
A,51,116.26493,39.920267,
A,52,116.269515,39.919417,
A,53,116.264521,39.919063,
A,54,116.264851,39.918319,
A,55,116.264507,39.919477,
A,56,116.252261,39.986456,
A,57,116.253399,39.984551,
A,58,116.254317,39.982564,
A,59,116.252733,39.983638,
A,60,116.252483,39.983542,
A,61,116.250434,39.981479,
A,62,116.232645,39.970615,
A,63,116.252642,39.980555,
A,64,116.252902,39.979561,
A,65,116.219007,39.976706,
A,66,116.210764,39.982374,
A,67,116.26097,39.975627,
A,68,116.306852,39.983674,
A,69,116.121108,40.080135,
A,70,116.12111,40.080353,
A,71,116.098788,40.106096,
A,72,116.121882,40.090718,
A,73,116.117745,40.100299,
A,74,116.121192,40.092671,
A,75,116.12188,40.091976,
A,76,116.117988,40.106229,
A,77,116.117971,40.106422,
A,78,116.117681,40.107838,
A,79,116.117591,40.100974,
A,80,116.118258,40.107437,
A,81,116.202953,40.040242,
A,82,116.158673,40.077881,
A,83,116.158294,40.085033,
A,84,116.31233,39.988372,
A,85,116.308548,39.98419,
A,86,116.306807,39.983782,
A,87,116.307947,39.987913,
A,88,116.315088,39.987845,
A,89,116.295737,39.997298,
A,90,116.295577,40.000056,
A,91,116.29631,39.998948,
A,92,116.304718,39.988181,
A,93,116.304728,39.988091,
A,94,116.304642,39.988748,
A,95,116.303473,39.997608,
A,96,116.318827,39.985968,
A,97,116.29034,39.998129,
A,98,116.304525,39.987812,
A,99,116.302188,39.989139,
A,100,116.298558,39.992845,
A,101,116.313133,39.986341,
A,102,116.304328,39.983776,
A,103,116.316544,39.986432,
A,104,116.284271,40.005859,
A,105,116.268147,40.004128,
A,106,116.266425,40.00208,
A,107,116.267179,40.002231,
A,108,116.266004,40.002341,
A,109,116.265523,40.005903,
A,110,116.280037,40.002203,
A,111,116.283889,40.006362,
A,112,116.249149,39.921077,
A,113,116.31877,39.923311,
A,114,116.309655,39.92246,
A,115,116.277878,39.923112,
A,116,116.29546,39.922213,
A,117,116.298984,39.920803,
A,118,116.260237,39.922797,
A,119,116.224754,39.95249,
A,120,116.219758,39.951239,
A,121,116.224815,39.952273,
A,122,116.33318,39.952306,
A,123,116.336061,39.951292,
A,124,116.335258,39.952031,
A,125,116.347709,39.952295,
A,126,116.335443,39.952038,
A,127,116.200549,39.992266,
A,128,116.198632,39.991908,
A,129,116.223848,39.992853,
A,130,116.330706,39.992397,
A,131,116.334007,39.992438,
A,132,116.336715,39.992197,
A,133,116.323554,39.991983,
A,134,116.336559,39.992506,
A,135,116.369507,39.991952,
A,136,116.304157,39.992854,
A,137,116.338942,39.991922,
A,138,116.339523,39.991948,
A,139,116.339523,39.991948,
A,140,116.339366,39.992416,
A,141,116.339366,39.992416,
A,142,116.339366,39.992416,
A,143,116.339366,39.992416,
A,144,116.339366,39.992416,
A,145,116.339366,39.992416,
A,146,116.339366,39.992416,
A,147,116.339366,39.992416,
A,148,116.339366,39.992416,
A,149,116.339374,39.992404,
A,150,116.331405,39.991685,
A,151,116.32612,39.992931,
A,152,116.336847,39.99197,
A,153,116.230693,39.984993,
A,154,116.345525,39.985654,
A,155,116.256588,39.985883,
A,156,116.337016,39.985096,
A,157,116.346793,39.986274,
A,158,116.337016,39.985096,
A,159,116.215573,40.096236,
A,160,116.213282,40.102695,
A,161,116.143166,40.104801,
A,162,116.214074,40.099411,
A,163,116.151958,40.117072,
A,164,116.2295,39.929401,
A,165,116.314989,39.932776,
A,166,116.330363,39.927883,
A,167,116.315932,39.931608,
A,168,116.256662,39.92971,
A,169,116.322335,39.93202,
A,170,116.302692,39.932746,
A,171,116.263926,39.928668,
A,172,116.319183,39.902613,
A,173,116.323557,39.901389,
A,174,116.323997,39.902657,
A,175,116.300928,39.901172,
A,176,116.329235,39.903616,
A,177,116.322718,39.902441,
A,178,116.26831,39.904156,
A,179,116.300536,39.901169,
A,180,116.294578,39.902885,
A,181,116.284628,39.931788,
A,182,116.260822,39.929502,
A,183,116.333482,39.927507,
A,184,116.328039,39.928312,
A,185,116.331869,39.926641,
A,186,116.310941,39.92902,
A,187,116.280727,39.927831,
A,188,116.301014,39.928366,
A,189,116.302234,39.927706,
A,190,116.261731,39.928964,
A,191,116.331348,39.926499,
A,192,116.329928,39.939092,
A,193,116.329532,39.939126,
A,194,116.274803,39.938747,
A,195,116.328078,39.937973,
A,196,116.327799,39.937484,
A,197,116.328078,39.937973,
A,198,116.309393,39.938773,
A,199,116.310714,39.939257,
A,200,116.32993,39.93909,
A,201,116.345354,39.959371,
A,202,116.344815,39.958356,
A,203,116.323755,39.959334,
A,204,116.288891,39.958685,
A,205,116.288891,39.958685,
A,206,116.288891,39.958685,
A,207,116.289755,39.95913,
A,208,116.287523,39.959029,
A,209,116.335395,39.958267,
A,210,116.34634,39.959511,
A,211,116.347173,39.958756,
A,212,116.345381,39.958302,
A,213,116.341365,39.958435,
A,214,116.334728,39.959037,
A,215,116.327544,39.958587,
A,216,116.296528,39.88923,
A,217,116.375935,39.970042,
A,218,116.369687,39.96867,
A,219,116.365921,39.971447,
A,220,116.365332,39.972552,
A,221,116.34466,39.985449,
A,222,116.348907,39.985892,
A,223,116.347565,39.981943,
A,224,116.378636,39.968927,
A,225,116.378874,39.968996,
A,226,116.375922,39.969541,
A,227,116.37056,39.968823,
A,228,116.340432,39.997668,
A,229,116.334992,39.993236,
A,230,116.336876,39.991731,
A,231,116.358853,39.981162,
A,232,116.370513,39.977207,
A,233,116.370088,39.979701,
A,234,116.373475,39.970691,
A,235,116.372261,39.969918,
A,236,116.369684,39.968493,
A,237,116.365934,39.972257,
A,238,116.367265,39.975695,
A,239,116.367721,39.97775,
A,240,116.338706,39.988747,
A,241,116.378243,39.971316,
A,242,116.376479,39.970329,
A,243,116.369688,39.968967,
A,244,116.333388,39.995134,
A,245,116.338572,39.993688,
A,246,116.339277,39.993608,
A,247,116.341594,39.995607,
A,248,116.347453,39.994336,
A,249,116.343153,39.988234,
A,250,116.337352,39.98867,
A,251,116.339582,40.001347,
A,252,116.370252,39.962298,
A,253,116.367555,39.962837,
A,254,116.333816,39.983607,
A,255,116.348237,39.974042,
A,256,116.370142,39.963348,
A,257,116.346681,39.974338,
A,258,116.345404,39.976111,
A,259,116.357773,39.968287,
A,260,116.370105,39.963639,
A,261,116.349739,39.972772,
A,262,116.345841,39.974326,
A,263,116.345686,39.977815,
A,264,116.346937,39.974344,
A,265,116.361753,39.947302,
A,266,116.361038,39.947497,
A,267,116.361058,39.948436,
A,268,116.357193,39.945417,
A,269,116.35715,39.947359,
A,270,116.356697,39.952468,
A,271,116.358314,39.951494,
A,272,116.358705,39.951032,
A,273,116.359923,39.950562,
A,274,116.360489,39.948968,
A,275,116.3609,39.950755,
A,276,116.358075,39.951924,
A,277,116.359501,39.949016,
A,278,116.305116,39.915556,
A,279,116.302114,39.915705,
A,280,116.298028,39.912798,
A,281,116.306853,39.923696,
A,282,116.324482,39.907068,
A,283,116.321641,39.906067,
A,284,116.329209,39.901495,
A,285,116.314803,39.934508,
A,286,116.314197,39.940244,
A,287,116.303299,39.908268,
A,288,116.310775,39.904589,
A,289,116.302314,39.909136,
A,290,116.295979,39.900949,
A,291,116.295438,39.903417,
A,292,116.319309,39.897492,
A,293,116.302443,39.906686,
A,294,116.306076,39.908042,
A,295,116.309402,39.909571,
A,296,116.299246,39.891363,
A,297,116.304663,39.908949,
A,298,116.310796,39.910255,
A,299,116.303295,39.90827,
A,300,116.301418,39.901177,
A,301,116.322368,39.897627,
A,302,116.305825,39.893456,
A,303,116.317052,39.902988,
A,304,116.343582,40.001096,
A,305,116.369498,39.992042,
A,306,116.349983,40.000179,
A,307,116.369516,39.992158,
A,308,116.368868,39.991068,
A,309,116.361558,40.001535,
A,310,116.369549,39.990804,
A,311,116.351625,40.000141,
A,312,116.364585,39.997227,
A,313,116.360693,39.996737,
A,314,116.357383,40.030964,
A,315,116.349911,40.037577,
A,316,116.364654,40.002886,
A,317,116.347511,40.021055,
A,318,116.364768,40.003457,
A,319,116.362017,40.002958,
A,320,116.350145,40.007492,
A,321,116.365676,40.001981,
A,322,116.374659,40.06181,
A,323,116.367926,40.061201,
A,324,116.351917,40.031331,
A,325,116.35692,40.037678,
A,326,116.353605,40.036761,
A,327,116.362057,40.031128,
A,328,116.34756,40.029748,
A,329,116.365182,40.003514,
A,330,116.365276,40.002436,
A,331,116.354498,40.008523,
A,332,116.370528,40.03754,
A,333,116.346746,40.006987,
A,334,116.346568,40.014976,
A,335,116.348291,40.032108,
A,336,116.35366,40.001809,
A,337,116.372199,40.033977,
A,338,116.356605,40.030616,
A,339,116.354069,40.036905,
A,340,116.351666,40.010366,
A,341,116.360203,40.010869,
A,342,116.363661,40.004016,
A,343,116.248919,40.038864,
A,344,116.199715,40.040578,
A,345,116.356838,40.037765,
A,346,116.260151,40.041006,
A,347,116.287102,40.03783,
A,348,116.332105,40.040634,
A,349,116.32934,40.040639,
A,350,116.332265,40.038155,
A,351,116.332256,40.038263,
A,352,116.336179,40.037341,
A,353,116.367919,40.040373,
A,354,116.313258,40.036477,
A,355,116.312865,40.040996,
A,356,116.330883,40.040632,
A,357,116.312653,40.040741,
A,358,116.309705,40.037214,
A,359,116.353405,40.036712,
A,360,116.352667,40.036519,
A,361,116.352237,40.036415,
A,362,116.314754,40.038314,
A,363,116.332816,40.040285,
A,364,116.33611,40.037425,
A,365,116.304314,40.038902,
A,366,116.300953,40.038101,
A,367,116.332864,40.040284,
A,368,116.354253,40.037146,
A,369,116.370519,40.037602,
A,370,116.370574,40.037362,
A,371,116.331777,40.040627,
A,372,116.32948,40.040641,
A,373,116.332312,40.037782,
A,374,116.332242,40.0383,
A,375,116.33398,40.039289,
A,376,116.308505,40.037577,
A,377,116.306856,40.03726,
A,378,116.370086,40.036885,
A,379,116.354302,40.037164,
